name,ring,quadrant,isNew,description
Kettle,trial,tools,TRUE,
Gatling,adopt,tools,TRUE,
WSO2,adopt,tools,TRUE,
Kibana,adopt,tools,TRUE,
RabbitMQ,adopt,tools,TRUE,
Gradle,adopt,tools,TRUE,
Jenkins,adopt,tools,TRUE,
Yarn,trial,tools,TRUE,
docker-compose,adopt,tools,TRUE,
Kompose,trial,tools,TRUE,
Trello,assess,tools,TRUE,
TFS,trial,tools,TRUE,
Slack,trial,tools,TRUE,
What’s App,hold,tools,TRUE,
Redis,adopt,tools,TRUE,
MongoDB,trial,tools,TRUE,
Git,adopt,tools,TRUE,
Postman,adopt,tools,TRUE,
Wiremock,adopt,tools,TRUE,
Java 8,adopt,languages & frameworks,TRUE,
Spring Boot,adopt,languages & frameworks,TRUE,
Spring Cache,adopt,languages & frameworks,TRUE,
Spring JPA,adopt,languages & frameworks,TRUE,
Cucumber,adopt,languages & frameworks,TRUE,
Python,assess,languages & frameworks,TRUE,
Ruby,assess,languages & frameworks,TRUE,
Node,assess,languages & frameworks,TRUE,
Angular 6,trial,languages & frameworks,TRUE,
RxJava,trial,languages & frameworks,TRUE,
C#,hold,languages & frameworks,TRUE,
Sinatra,trial,languages & frameworks,TRUE,
PLSQL,hold,languages & frameworks,TRUE,
Apache Camel,adopt,languages & frameworks,TRUE,
Docker,adopt,platforms,TRUE,
Linux,adopt,platforms,TRUE,
Kubernetes,adopt,platforms,TRUE,
Dojo,adopt,techniques,TRUE,
KT,trial,techniques,TRUE,
Event Sourcing,trial,techniques,TRUE,
Reactive architectures,trial,techniques,TRUE,
REST,adopt,techniques,TRUE,
Scrum,adopt,techniques,TRUE,
Pair programming,adopt,techniques,TRUE,
Design session,adopt,techniques,TRUE,
Behavior Driven Development,adopt,techniques,TRUE,
Test Driven Development,trial,techniques,TRUE,
Domain Driven Development,assess,techniques,TRUE,
Integration Tests,trial,techniques,TRUE,
